timestamp,sensor_id,value,unit
2025-06-10T00:29:30.343207,temp_1,20.76386475276318,°C
2025-06-10T00:29:30.343207,hum_1,49.38986152130076,%
2025-06-10T00:29:30.343207,press_1,1017.533986966991,hPa
2025-06-10T00:29:30.343207,light_1,176.18959127488256,lux
2025-06-10T00:30:03.829800,temp_1,24.889238192557215,°C
2025-06-10T00:30:03.829800,hum_1,52.33261417557894,%
2025-06-10T00:30:03.829800,press_1,1014.7424939292897,hPa
2025-06-10T00:30:03.829800,light_1,170.25138446596253,lux
2025-06-10T00:30:37.354366,temp_1,7.180231323025807,°C
2025-06-10T00:30:37.354366,hum_1,42.41486700392566,%
2025-06-10T00:30:37.354366,press_1,1011.3815343218363,hPa
2025-06-10T00:30:37.354366,light_1,172.99560513573496,lux
2025-06-10T00:31:10.853201,temp_1,20.02192244858312,°C
2025-06-10T00:31:10.853201,hum_1,46.22320248442544,%
2025-06-10T00:31:10.853201,press_1,1011.4021724851244,hPa
2025-06-10T00:31:10.853201,light_1,82.93538880790348,lux
2025-06-10T00:31:44.274676,temp_1,16.225960037120494,°C
2025-06-10T00:31:44.274676,hum_1,41.040529124749355,%
2025-06-10T00:31:44.274676,press_1,1010.5268341237855,hPa
2025-06-10T00:31:44.274676,light_1,104.19771866850245,lux
2025-06-10T00:32:15.688673,temp_1,22.8747459718685,°C
2025-06-10T00:32:15.688673,hum_1,37.777423015838906,%
2025-06-10T00:32:15.688673,press_1,1014.084249964451,hPa
2025-06-10T00:32:15.688673,light_1,144.05650057574871,lux
2025-06-10T00:32:20.720187,temp_1,18.095895377528034,°C
2025-06-10T00:32:20.720187,hum_1,47.408047970333925,%
2025-06-10T00:32:20.720187,press_1,1014.0161801036775,hPa
2025-06-10T00:32:20.720187,light_1,170.92805964473678,lux
2025-06-10T00:32:25.762720,temp_1,19.111560585877985,°C
2025-06-10T00:32:25.762720,hum_1,36.9866859098388,%
2025-06-10T00:32:25.762720,press_1,1014.1482629523139,hPa
2025-06-10T00:32:25.762720,light_1,148.03753872564923,lux
2025-06-10T00:32:30.793941,temp_1,19.046783062578594,°C
2025-06-10T00:32:30.793941,hum_1,42.08748869287863,%
2025-06-10T00:32:30.793941,press_1,1008.4045103000307,hPa
2025-06-10T00:32:30.793941,light_1,193.56182399524982,lux
2025-06-10T00:32:35.801738,temp_1,22.98343103590741,°C
2025-06-10T00:32:35.801738,hum_1,38.02344126675116,%
2025-06-10T00:32:35.801738,press_1,1011.2744953717938,hPa
2025-06-10T00:32:35.801738,light_1,138.64482276326206,lux
2025-06-10T00:32:40.830553,temp_1,24.632899490129866,°C
2025-06-10T00:32:40.830553,hum_1,46.7913869723035,%
2025-06-10T00:32:40.830553,press_1,1009.5982532520932,hPa
2025-06-10T00:32:40.830553,light_1,87.05384129611177,lux
2025-06-10T00:32:45.863729,temp_1,18.59336332675987,°C
2025-06-10T00:32:45.863729,hum_1,48.36017489852951,%
